query_id,answer
00WuFMaXSFZBxSzT,f61c2546f43fc8d8 980953f92323e8d6 c90da827b4ad7b5a 2f82afc9946e6c84 357c6c419bbb2316 74d23542e7307b93 f37f88b2bd8263bc 75d44a1b48f4faab 62ecb277bf4e92b9 f3e39b2798e2f33f b9f030de0b5bc8eb c86f7a252955f4b1 36d19509af1a8608 182e2f1db36de6a5 56497a3f2f12de18 e7e66ff8fddce5db afb14ba082200999 263e33d059d66fad 2102627765180b9d 4f4733c6f11c1b9e 0c52898ea7adc4c4 d87fec4f275b63b3 786dbe56da3b21da 5cd5a82cb706f10a 4732cfe7779141ae 7f57289970188902 bdf43097f92bd7de 5c8f01af5ac8fa24 41c992eb2957e61e 65c4b9675dcd75a3 efb51110a4e1ff04 527794f25bb0a1c6 416a9938422998fa 39e28c7aa47f2645 3420e2f7093a26b1 e1f2fbecbd72c582 00a1204617efb13e 9bae4039ec888f0c c9fdceadd0b8620d 4a43ed13ad5bfdcf bcb57e9bb983c836 150bae62538f6fc7 36dbbeca4b985ae2 34db69d2cd16efbf 491594bb91885c65 67b93ba4a730e629 637726d4d6291479 887e0dc99a1ee3eb a00f266b7d627a71 0d33a87cc8313072
03ztb1gtRFC4K4vP,6a920b36f8ad8241 8e0070b633c3975a 9010b8981f180a11 490e1361a11d1434 bf8fc181bc3246f2 4d452aa7a0be3763 75b818b60d321d51 a8dfe2ba26dbb2f6 a5afb8923b2d1863 0214fddcf70fb7da c99445c396aa5ff1 f59971fb8976a501 66b97be7158f5261 ad83689df07dd111 0ec7014d3813ef49 c22a417b16ae2225 ea90d157b3556276 a7452b3fb8825c43 33f4e73137ccc31a 9b35fffb8c4f9758 8f61500039e6e51a ce573cebdc690288 057378eb4d52ef63 dd65917af30162a2 0f3d8dd771cfc88b 916db63074389ca6 d64f88ccd9bae396 5f1640964aed84fc 4a3995d3637ea1ab f4a78af5d8e7a2b6 279997f657b3ff47 eb094ca1f281ed6f f8465d1c86025e6f cf1cdbd414d17627 f2b030a0c3c4dc0c 73421ecde5938c56 ae1ece47f963c752 bb23c945d6ce3a75 de6ffa566656629c a95a0ef0953839b4 05cf87bad066ee69 fdb44aa28a9aca3a 8c579f49324ebfc2 f3a3f04540c2dcfe 4f3923b21f9b7a73 e79a39e93aadb92e d98369b1439e2a01 0dccef273698cf7f 7f857c3ab1c4da27 e6c906e8939db0e2
052l5ySkk2Asxdni,f744ab157a2519e9 27d9121fa7546ac8 9e95453ffeaa8416 a603f8d04e440273 48dc45fd9cfa80cc 3b414fcfcca8c33d 9df3286504a1dfe5 99f66549aab6dc9c d04b37733cf99a79 83b1a78c3a641cad b27a31ec69daa554 29d267e0809c4c9e 2af4580b4f2587ee 923ac0439b86b63d 4569bdb05029715a 7bd36fb724570d91 2cacdd98fcaa7379 999f5df76755859a 38e74abf2fb3d7dc d63df5b869ce10e3 0b40ab2834fd56c1 c6ff230bbbb95172 d71609d3bc6595e7 a3b4c2b5685984a6 d44678e8a7b685b1 0c6ca74746bd8184 edfea9052f252269 887337b71034fc95 8a19415d8c5bef0a 9c655304eef91aa9 020a39d53044f5a1 2222ce4052f95752 a0d4a32f05a8163c e2e4bd565a0dbcc2 a9d7813d0630556c e0d8a06cfd7d19bd 1b0b49cf59543902 1e8a45094b161594 f8d4255456f1a6fa 324ced6861daee31 35f2e2bd85894a85 0862109e50651555 d1cb079f0ab7c636 6cf55defa4dd82fc a62b6ce7fa4574b4 a4b06bc2db78de50 e359224d024f07ce 4f9bc8c26f5794bc 98502389a68a7a96 0cfa61ca6023a522
06QIixa5pbkQaLnl,92565f1eb6dab23e 293cc7326b6e726b 42fa06bf89c485a2 9be1f649f390d01f f33e60e4f21e4664 22237f337584cb41 7373ef4b60e4aa16 16856201616efa1a cb7382abf48737fe 7feb591b799bf30c 467e498087349a3b 954dd637f2e42cbe 1e8bfaad09027506 0f504b00a40e7d20 3ff914d6d220b200 3327edfdab67524f a911aa17f54259d5 da7d4efcc9540cb4 9f5220af1ab3ebd9 df8f790396faa926 4ae6972580123697 292dadb5e23bb1cd eeea9ded0c641612 806fc8f50bdcf72b cba53e25f842fe24 1294f4bf6937287c 1f24f19be4842d69 9860cefb0394d49d 7bd670bbfd07893c cae04e965d840c61 43557957dfb608af b0723d7d9c5ed421 bac7596dac972700 5a18cc25bf315da7 a8627eb315c0b23a 2a17f5852946a2da ab024b466119c8c4 ae2e265d872da62e da9946c7933eb0b1 a741288ceb4763f1 175f1c502cf8e98f 1212975c01259ee8 3c47700d868c0d4e c120526ebf38d653 1ed87151d966a9eb a24a3ec9794ceafd 7a3a0abca490a13f 3bd51eed724156b6 72ac2784db16a6dd a972cfdd40a6c8c1
0A2x7ulC3KohJSRe,105861cd5ae0e0f5 53f7f5708169712c 54413ec0c7d37b65 6ed0b2e5c59404e5 c38cd4ebc11e2008 da2b8f3f74393251 1006fb8aa8044798 d99e04ee5f937857 abefa4141c2c8906 2d0131b7dbb3a15e af0c8676ceeaaee6 c5694d749687b677 bf202dd6e288fc9c 6d44a37c46b4b32d 682fc635f2a3c827 65e33fb596005a7d d7fac6cc418e4989 8ebd8ee272488171 2f1b8164d1803288 6fa90ff90a51de89 6b73a30737136359 0a95de5be58b5280 f45e56c6fcb1ad25 f1209e145fe755d3 e5bad65f4106c8bd 6635fe417c0d87f6 02f639332f8071f7 4c9835c3cc27f051 354488da180b798f 1cfbbb4733114b1f e649c9e6b036193a ea8781cf351fa882 25e5c106b85db98b 93966a3af73dcaad 154b2f32fca32bee 609569eb41c32e33 c9f5da5f652de921 60e38632cd568189 be0fa42feb8b4480 98968162e8a33a58 a91eccd2f9358bf0 bc0ad255042382fe c29a4aa20c95d8e3 ec1a112ab798d308 c16818575ecda336 dfb886709b745077 790a1ed6aa13ac76 3985611744301ae2 fca7d549529859df f36951bff5a59f56
0CnJ7GrMV3RKqb9V,5d66886fdb62bc4c 3788757627ca9450 0ab2548755ea2e8b fe618b1e92423f4e 49cedd878ec457bd a8e43b1a49472b7a 67db2859fc039f48 b99beb5ee864c3cf d276c804fb2e62ff 0d7a1dd71de5c534 7e7a0ca28bd602d3 ffe03841e6c216d6 243e65ad401483d9 828db078b1665613 75d9c92cd3bab292 26e5f6fab718a0e1 65113b38153fbf2a c437ac646bdf83c9 5230a19272271d1d 3b433426e74b3458 a42a7965e0802d16 f50f436ead166ccb 1bf993912c6fa761 546e7a2457fb0401 c78e6039e0dd6ff1 c56b4e73a5af1764 febe8b7750ace561 0d7d1df1007b689a 7c44fbc1fea0aa2a 09a970552a1cc683 0e88c7c30ea7a0f9 ed00e098a434261c 016076fa30dbf41f d6253ba91a826119 21b780d30947a8c3 5d6db3c33287f4c0 51eb2bebef36fed3 ee585932896594bd fc5e85c01d7f2883 504c130dd67db031 84a1af7d54a1e47b 3d9c384bf9327b85 a68ea3f311604488 a1c019d44ffd720f d1a62be8dd0fca16 e9a1fe1056d80d5a efaf96b52a53beab f017f417c488e6ab 30173b2e4de35ede 5cefffea6ed5ac9d
0E3XH9ZmuossXRDy,37d1e10c7067c80f 50d592515198c822 57d69f3e2257ce98 55604b87b25f88fd b920cbca81d38d50 9d475c898e2b98d1 628d48658e2a1fa8 452b3023c3e3f1cc 8d086d977f91de3f a9b633e781e640e1 4d2d7bba1c3b0285 9211dee600d144ab bbf2169d6a390e91 499c2848ba319dc2 ad50b401403f8a1c 1d0dcb10acfef086 66bf8866049dfce4 06073bed00c70fa7 ec2c73863a556de1 39811d641aa4120f 67cda0fca7bd379a 737211c877747824 5cc1a2ab0c296f85 f32e44339263a51d 283f66049a00acb4 3bf478d9cce66c36 d57e6b2fa64cbbd7 ebf8b840bfb66de9 e6ad7a1914e08cd2 c36e3ebe6f62cc37 0a3475f83693d29c 6a813302cc52afd7 612fca7fb5f2b412 bfcb5dcd98f85315 7ac29c85f5ac2924 5a4a21dfd905b71e e6708836134fa7f0 ccb30e9b4804afb8 cf9450cd095c2c79 f402d1d3b7b5122b 91ca6703848ec6dd 40b3b9a4a9805318 e73fa16551a3d8fd a4d7fc09777119a6 7d116519a5cff8b1 eb6771302a6433c9 5cd75514324be0dc d1a97e1c10a8b75f 7d3e91683ccac6cb 5e1d81db7ae9b564
0EEODifOMhIN2d1p,7ab59ee5f9bcf116 ccfd2f3b425d0790 c3eb37fc900d2d01 55a57a6691f6a389 485be15e157d029c 7e944cffab3bf95d d49a6e0d30f6f2b4 6ebfcd589c01ed5f 9c197720c193d4e3 d77b0b1372f05af6 d023032edaa93819 be8a279a5bdedb18 8c891e022296f5f8 d9e1803380489817 81e2deef790d4569 c4aa605823ee5f0e f65c2e6875fa43eb edba22885bfba4a6 1ee0410aad0d39ba c0fdd5899f898c82 0c28763e40a80cb8 414cd6bc579822e4 dccfff1a386d7b91 a717182140cf8927 f44e130e12c36043 553d1edccbf9a124 ba8f78116d6ec986 30f3fabe707f6d79 8ee663ca5a1d9769 df9d09b104176ff0 3e793d9c3f909637 afde36abe6ab91c2 0b141a9d0084c9c4 f1da04a06495a69a c543da1c9b2cfc9f 9c6e4c5a1527a546 81c8f2a610db34de 73585765bd96d4e3 643b6c72476ebb89 42dfac33114a2978 25893942dd9338fd 3d7eb8de97c6a68b eaf2ab034e38f695 2e7dbd5cb73c2097 f6aa904559f26e0b 92e1161ca3b10fcf ece56210bca8ff82 61d6b1f5a093042a 53f313294289f532 1ffd41b541299142
0EtYIZ26wGTSuK54,f17cfe88e33dcb75 6723ac544203e405 9714377e01cc09ad 16aab088107a4d34 e5181218bf2749d0 4ef103b1dc8f8664 1cddadfd67539c9a d3cebf91afe3b5fd 174acd4d2b387105 57f0c41e99aa679d a6becb44994631bc b4f6dad14c50181e 69e574f0bed683a2 af3d3f1f1fb6985c 96b180f476d8bd08 07d13260e1247b57 f63b865e2d3d7c3b 11f2f559d6d7931b 387744233ebc3ecc 87fc72a87c5af512 df15641acf98b236 c5d9b2d268f76b1a 1c9e7192c5e336f3 9f1323716c627de9 fc5cf1b5667af78e 3580194365060468 fd250f8748520750 0e788dc9a5f49c58 3ce7ca2df69dcec2 14b07ddc004c844e 8748b434392b8aa3 754d60f22cfd4a9a 166a35cf953c54b7 a0ef2f32ac2ffe59 d4c134106f60fc66 0db450ec944841ce cf024eed3d564b86 814a7a6ac59fb36f 4724241107cfa161 f6ff15248428621f b89cf22da7786696 3a3c8e3d9168f9da 54802a71ff669f8a 72a74ff0f8633487 0834b9354302c897 e72840cabc438300 86a9727b5fb6c2ee f67bdacfe2394e4f 027960656ebdd47d 084b9953cd77f333
0KUO9HDVxP7tbjsa,4c76cadcfbe31f2c 228f7274fe410c73 149dd2455212cb29 f1c966acbb113084 b57234275b639073 06a60ef2af71212b 169d02b0feb03c34 0649f12f7a2ed455 cf05bb891847b87b 745225ef35f707dd 396a13c268ece2ac 63c9fe543be19892 99b520f90ae93563 ca1b096122774d22 43c1b260c3d301eb 37bedc658befede3 2c7aca41cb9b4d0e 0718c05f33864718 81e8366b2abdc54e 1ccd6006f0875ea1 720a9245464e9c65 41ad4dd9976cc527 de14f0b631a60d57 b9477a6e7dfa0721 3a10cebea9da93e7 697035c81aafe5a7 a9eed78a9fee3194 187df7e8207bd052 2dc7bfd7c4dcc5a6 bf4ecee6310f7c11 5a3430dff56448ba fbafd1aa222b281b ece522494b2c49e4 3b69c5dbbbe836d4 e13c952ce9168091 acf7929650cf0eac 83a12f64d6db320d 6dd3961846e095b5 2580b31764b1ba09 3dd2738f0f443834 7531793ea2d455d6 9d9a71eebe3f79ad 6b1bf1c8c65f2672 3fd868c020851d8c 4682593fd264b326 f4b51fd6e7ae43a2 04b927065e05e5b4 1c5ac049ee091b06 56d4076209131d3f 116a7ebddbd53bfa
